C1,C2,C3,C4,Score
#C26565,#A35D6A,#D9C6A5,#F7E7BD,5712
#A7C5EB,#709FB0,#4A47A3,#413C69,5711
#DBDBDB,#C9B194,#A08963,#706D54,5711
#F0DAA4,#EAAC9D,#B49C73,#565D47,5708
#F5E8E4,#F5C7A9,#D1512D,#411530,5700
#F3FF90,#9BEC00,#06D001,#059212,5681
#59606D,#70ACB1,#C6F1E7,#F0FFF3,5676
#F0A04B,#FADA7A,#B1C29E,#FCE7C8,5675
#D95F59,#C63C51,#8C3061,#522258,5670
#C2F784,#FFF47D,#FFBF86,#F6A9A9,5666
#F3F3F3,#E9DCBE,#8E8B82,#343434,5665
#523906,#535204,#62760C,#CDB30C,5665
#F1F1F1,#C7B7A3,#EADBC8,#B5C18E,5656
#FF7272,#FFB385,#FAE7CB,#FFD31D,5642
#6892D5,#79D1C3,#C9FDD7,#F8FCFB,5628
#F5EFEF,#FFCB8E,#E97171,#931A25,5622
#641B2E,#8A2D3B,#BE5B50,#FBDB93,5615
#EEEEEE,#8B9A46,#541212,#0F0E0E,5612
#3D0301,#B03052,#D76C82,#EBE8DB,5594
#434343,#F7C873,#FAEBCD,#F8F8F8,5565
#F7F1E5,#E7B10A,#898121,#4C4B16,5530
#FEFAE0,#B1AB86,#819067,#0A400C,5524
#FFF8BC,#FFE898,#FF87B2,#F65A83,5518
#A73489,#FF3D68,#FF6767,#FAAD80,5517
#FA4032,#FA812F,#FAB12F,#FEF3E2,5516
#E4DEBE,#E6BAA3,#D24545,#A94438,5515
#F8E4B7,#F4F4F4,#A4B787,#AA3A3A,5503
#FFECAF,#FFB07F,#FF52A2,#F31559,5502
#FF971D,#FFE8D6,#F9F6F7,#FFFFFF,5501
#E9F8F9,#C0EEF2,#537FE7,#181823,5500
#FF5733,#C70039,#900C3F,#581845,5496
#83B582,#D6E4AA,#FFFFC5,#F0DD92,5495
#95CD41,#F6D860,#FF7F3F,#EA5C2B,5471
#F5EDF7,#BB99CD,#643579,#3D1860,5435
#F1BBD5,#A12559,#5F1854,#3B0944,5434
#E9B5D2,#951556,#561050,#35013F,5432
#0B0B0D,#474A56,#929AAB,#D3D5FD,5421
#D9BF77,#D8EBB5,#639A67,#2B580C,5420
#49108B,#7E30E1,#E26EE5,#F3F8FF,5418
#F3D4D4,#FC9D9D,#EA728C,#4F3961,5411
#535A3B,#A7B99E,#CEDCC3,#EFF7D3,5402
#C9753D,#EB8242,#E6A157,#9DAB86,5401
#99CDA9,#D1E9D2,#E5F4E7,#F1FDF3,5395
#416D19,#9BCF53,#BFEA7C,#FFF67E,5393
#F5C6EC,#FFEAEA,#E11299,#9A208C,5392
#F5FAE1,#EEE6CA,#E5BEB5,#896C6C,5378
#FE9797,#DD5B82,#913175,#560764,5377
#B60071,#E4003A,#EB5B00,#FFB200,5359
#630A10,#911F27,#F7D098,#FCF0C8,5356
#83B271,#ABCB89,#D2EA9B,#E7F0D2,5353
#FF8BA0,#E41F7B,#86003C,#000000,5353
#FF9898,#FFAAAA,#FFD586,#FFE99A,5349
#F8FAB4,#FEE2AD,#FFC7A7,#F08787,5340
#F6E9E9,#E16428,#272121,#363333,5327
#C19898,#4A4A48,#2B2B28,#EBEBE3,5326
#200E3A,#38419D,#3887BE,#52D3D8,5322
#F19292,#CBE2B0,#FCF7BB,#F6D186,5320
#957C62,#E2B59A,#FFE1AF,#B77466,5306
#FFEDED,#FDB9FC,#ED50F1,#FF00E4,5305
#D15A7C,#EE8972,#F7D695,#F6EEC7,5300
#A3BB98,#F0ECCF,#FBC252,#FFB100,5274
#7874F2,#8E98F5,#B1CBFA,#DFE2FE,5260
#FFBBCC,#FFDDCC,#FFC93C,#99154E,5260
#00EAFF,#1F8EA3,#284184,#020438,5253
#5C715E,#B6CDBD,#DDEEDF,#F2F9F1,5250
#0F0766,#59057B,#AB0E86,#E01171,5241
#F89D13,#1B120F,#8F1D14,#E6DEDD,5236
#697C37,#CCDA46,#F4EEC7,#FE9801,5231
#851D41,#DB3056,#FF6464,#FFB99A,5228
#FEE0C0,#FF7C7C,#B9005B,#820000,5217
#FAE8C8,#C9D99E,#FDA77F,#445C3C,5211
#9A031E,#E36414,#FB8B24,#5F0F40,5208
#F6F1EE,#4F4A45,#6C5F5B,#ED7D31,5207
#F79BD3,#EA1179,#9F0D7F,#241468,5204
#82954B,#BABD42,#EFD345,#FFEF82,5199
#C47AFF,#7978FF,#4649FF,#1D1CE5,5199
#212121,#A35C7A,#C890A7,#FBF5E5,5193
#A63EC5,#CE49BF,#F190B7,#FBD6D2,5189
#51050F,#AB6D23,#F78812,#E02401,5187
#FFE084,#FFC057,#F98B60,#EA5959,5148
#FFC300,#FF5733,#C70039,#900C3F,5102
#0014FF,#009EFF,#00E7FF,#00FFF6,5100
